long	lat	depth
-48.418610	-1.426250	-1.04
-48.418610	-1.426250	-1.04
-48.418610	-1.426250	-1.04
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-1.04
-48.418610	-1.426250	-1.04
-48.418610	-1.426250	-1.04
-48.418610	-1.426250	-1.04
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-1.04
-48.418610	-1.426240	-1.04
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-1.04
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-1.04
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-1.04
-48.418620	-1.426240	-1.04
-48.418620	-1.426240	-1.04
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-1.04
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-1.04
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-1.04
-48.418620	-1.426250	-1.04
-48.418620	-1.426250	-1.04
-48.418620	-1.426250	-1.04
-48.418620	-1.426250	-1.04
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-1.04
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-1.04
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-1.04
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-1.04
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-1.04
-48.418620	-1.426240	-1.04
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-1.04
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-1.04
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426250	-1.04
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-1.04
-48.418620	-1.426250	-1.04
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-1.04
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-1.04
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-1.04
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-1.04
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-1.04
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-1.04
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418600	-1.426240	-0.94
-48.418600	-1.426240	-0.94
-48.418600	-1.426240	-1.04
-48.418600	-1.426240	-0.94
-48.418600	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418600	-1.426240	-1.04
-48.418600	-1.426240	-0.94
-48.418600	-1.426240	-0.94
-48.418600	-1.426240	-0.94
-48.418600	-1.426240	-0.94
-48.418600	-1.426240	-0.94
-48.418600	-1.426250	-0.94
-48.418600	-1.426250	-0.94
-48.418600	-1.426250	-0.94
-48.418600	-1.426240	-0.94
-48.418600	-1.426250	-0.94
-48.418600	-1.426250	-0.94
-48.418600	-1.426250	-0.94
-48.418600	-1.426250	-0.94
-48.418600	-1.426250	-0.94
-48.418600	-1.426250	-1.04
-48.418600	-1.426250	-1.04
-48.418600	-1.426250	-0.94
